Sequencing_core_sample_ID	Rat_ID	Generation	Line	Treatment_group	Enrichment	SocialDefeat	brain_region	date_of_sac	date_of_dissection	hemisphere_dissected	date_of_RNA_extraction	RNA_conc	ratio_260_280
126004	L08 C2	F56	bLR	bLR NIL + SD	NIL	SD	Nacc	28-Oct-17	17/1/2019	left	26.2.2019	97.8	2.06
126005	L08 D1	F56	bLR	bLR NIL + SD	NIL	SD	Nacc	28-Oct-17	17/1/2019	right	26.2.2019	97.8	2.05
126006	L08 D2	F56	bLR	bLR NIL + SD	NIL	SD	Nacc	28-Oct-17	16/1/2019	left	26.2.2019	54.2	2.13
126028	L08-1 A1	F49	bLR	bLR EE	EE	NIL	Nacc	8-Jan-16	21/2/2019	right	26.2.2019	36.1	2.06
126029	L08-1 A2	F49	bLR	bLR EE	EE	NIL	Nacc	8-Jan-16	21/2/2019	left	28.2.2019	24	1.95
126030	L08-1 B1	F49	bLR	bLR EE	EE	NIL	Nacc	8-Jan-16	21/2/2019	right	28.2.2019	89.2	2.01
126031	L08-1 B2	F49	bLR	bLR EE	EE	NIL	Nacc	8-Jan-16	21/2/2019	left	28.2.2019	111.8	2.04
126032	L08-1 C1	F49	bLR	bLR EE	EE	NIL	Nacc	8-Jan-16	21/2/2019	right	26.2.2019	68.3	2.09
126033	L08-1 C2	F49	bLR	bLR EE	EE	NIL	Nacc	8-Jan-16	21/2/2019	left	26.2.2019	67.5	2.1
126034	L08-2 A1	F49	bLR	bLR EE + SD	EE	SD	Nacc	10-Jan-16	21/2/2019	right	28.2.2019	93.4	2.02
126035	L08-2 A2	F49	bLR	bLR EE + SD	EE	SD	Nacc	10-Jan-16	21/2/2019	left	26.2.2019	19.7	2.18
126036	L08-2 B1	F49	bLR	bLR EE + SD	EE	SD	Nacc	10-Jan-16	21/2/2019	right	28.2.2019	79.1	2.04
126037	L08-2 B2	F49	bLR	bLR EE + SD	EE	SD	Nacc	10-Jan-16	21/2/2019	left	28.2.2019	48.6	1.99
126038	L08-2 C1	F49	bLR	bLR EE + SD	EE	SD	Nacc	10-Jan-16	21/2/2019	right	26.2.2019	48.6	2.06
126039	L08-2 C2	F49	bLR	bLR EE + SD	EE	SD	Nacc	10-Jan-16	21/2/2019	left	26.2.2019	72.1	2.08
125994	L09 A1	F56	bLR	bLR NIL	NIL	NIL	Nacc	24-Oct-17	16/1/2019	left	28.2.2019	61.3	2.08
125995	L09 A2	F56	bLR	bLR NIL	NIL	NIL	Nacc	24-Oct-17	16/1/2019	right	28.2.2019	50.3	2.04
125996	L09 B1	F56	bLR	bLR NIL	NIL	NIL	Nacc	24-Oct-17	16/1/2019	left	26.2.2019	92.2	2.12
125997	L09 B2	F56	bLR	bLR NIL	NIL	NIL	Nacc	24-Oct-17	16/1/2019	right	26.2.2019	156.4	2.06
125998	L09 B3	F56	bLR	bLR NIL	NIL	NIL	Nacc	24-Oct-17	16/1/2019	left	28.2.2019	58	2.05
126022	L09-1 A1	F49	bLR	bLR NIL	NIL	NIL	Nacc	9-Jan-16	21/2/2019	right	26.2.2019	81.8	2.07
126023	L09-1 A2	F49	bLR	bLR NIL	NIL	NIL	Nacc	9-Jan-16	21/2/2019	left	26.2.2019	54.8	2.05
125991	L10 A1	F53	bLR	bLR NIL	NIL	NIL	Nacc	6-Feb-17	16/1/2019	right	26.2.2019	47	2.15
125992	L10 A2	F53	bLR	bLR NIL	NIL	NIL	Nacc	6-Feb-17	16/1/2019	left	26.2.2019	67.4	2.04
125993	L10 A3	F53	bLR	bLR NIL	NIL	NIL	Nacc	6-Feb-17	16/1/2019	right	28.2.2019	114.9	2.05
126014	L11 A1	F53	bLR	bLR EE + SD	EE	SD	Nacc	9-Feb-17	16/1/2019	right	28.2.2019	76.6	2.06
126015	L11 A2	F53	bLR	bLR EE + SD	EE	SD	Nacc	9-Feb-17	16/1/2019	left	28.2.2019	69.5	2.08
126016	L11 A3	F53	bLR	bLR EE + SD	EE	SD	Nacc	9-Feb-17	16/1/2019	right	26.2.2019	55.7	2.08
126007	L11 B1	F53	bLR	bLR EE	EE	NIL	Nacc	9-Feb-17	16/1/2019	left	26.2.2019	63.3	2.1
126008	L11 B2	F53	bLR	bLR EE	EE	NIL	Nacc	9-Feb-17	16/1/2019	right	26.2.2019	50.7	2.02
126009	L11 B3	F53	bLR	bLR EE	EE	NIL	Nacc	9-Feb-17	16/1/2019	left	26.2.2019	47.8	2.04
126024	L12 A1	F49	bLR	bLR NIL + SD	NIL	SD	Nacc	9-Jan-16	21/2/2019	right	28.2.2019	90.2	2.04
126025	L12 A2	F49	bLR	bLR NIL + SD	NIL	SD	Nacc	9-Jan-16	21/2/2019	left	28.2.2019	35.9	2.03
126026	L12 B1	F49	bLR	bLR NIL + SD	NIL	SD	Nacc	9-Jan-16	21/2/2019	right	28.2.2019	36.5	2
126027	L12 B2	F49	bLR	bLR NIL + SD	NIL	SD	Nacc	9-Jan-16	21/2/2019	left	26.2.2019	61.4	2.07
