gene_id	gene_symbol	gene_biotype	description
ENSRNOG00000052386	Nlrx1	protein_coding	NLR family member X1 [Source:RGD Symbol;Acc:1311293]
ENSRNOG00000029195	Uba7	protein_coding	ubiquitin-like modifier activating enzyme 7 [Source:RGD Symbol;Acc:1308323]
ENSRNOG00000010076	Pkp1	protein_coding	plakophilin 1 [Source:RGD Symbol;Acc:1307472]
ENSRNOG00000006255	Nipal4	protein_coding	NIPA-like domain containing 4 [Source:RGD Symbol;Acc:1309452]
ENSRNOG00000011263	Plac9	protein_coding	placenta-specific 9 [Source:RGD Symbol;Acc:1306662]
ENSRNOG00000014199	Zfp703	protein_coding	zinc finger protein 703 [Source:RGD Symbol;Acc:1588249]
ENSRNOG00000027220	Pcdhgb8	protein_coding	"protocadherin gamma subfamily B, 8 [Source:MGI Symbol;Acc:MGI:1935200]"
ENSRNOG00000024482	Tnrc18	protein_coding	trinucleotide repeat containing 18 [Source:RGD Symbol;Acc:1307540]
ENSRNOG00000016289	Bmpr1b	protein_coding	bone morphogenetic protein receptor type 1B [Source:RGD Symbol;Acc:1595863]
ENSRNOG00000057476	AABR07054045.1	pseudogene	WW domain-binding protein 4-like [Source:NCBI gene;Acc:100361436]
ENSRNOG00000012274	Ddi2	protein_coding	DNA damage inducible 1 homolog 2 [Source:RGD Symbol;Acc:1311815]
ENSRNOG00000009034	Tdrd3	protein_coding	tudor domain containing 3 [Source:RGD Symbol;Acc:1310126]
ENSRNOG00000060574	AABR07027819.2	unprocessed_pseudogene	NA
ENSRNOG00000005278	Trhde	protein_coding	thyrotropin-releasing hormone degrading enzyme [Source:RGD Symbol;Acc:728895]
ENSRNOG00000042838	Junb	protein_coding	"JunB proto-oncogene, AP-1 transcription factor subunit [Source:RGD Symbol;Acc:2944]"
ENSRNOG00000000168	Gatm	protein_coding	glycine amidinotransferase [Source:RGD Symbol;Acc:71090]
ENSRNOG00000004063	Sh3pxd2b	protein_coding	SH3 and PX domains 2B [Source:RGD Symbol;Acc:1309926]
ENSRNOG00000004147	Abca8a	protein_coding	"ATP-binding cassette, subfamily A (ABC1), member 8a [Source:RGD Symbol;Acc:1307333]"
ENSRNOG00000042068	Otud7b	protein_coding	OTU deubiquitinase 7B [Source:RGD Symbol;Acc:1308111]
ENSRNOG00000014205	Klf2	protein_coding	Kruppel-like factor 2 [Source:RGD Symbol;Acc:1359220]
ENSRNOG00000048273	Apod	protein_coding	apolipoprotein D [Source:RGD Symbol;Acc:2137]
ENSRNOG00000017414	Irf7	protein_coding	interferon regulatory factor 7 [Source:RGD Symbol;Acc:1307828]
ENSRNOG00000015441	Il4r	protein_coding	interleukin 4 receptor [Source:RGD Symbol;Acc:2899]
ENSRNOG00000015596	Efhd1	protein_coding	"EF-hand domain family, member D1 [Source:RGD Symbol;Acc:1559565]"
ENSRNOG00000013937	Ankrd34c	protein_coding	ankyrin repeat domain 34C [Source:RGD Symbol;Acc:1305403]
ENSRNOG00000007206	LOC361016	protein_coding	similar to RIKEN cDNA 4933406L09 [Source:RGD Symbol;Acc:1359720]
ENSRNOG00000013413	Rorb	protein_coding	RAR-related orphan receptor B [Source:RGD Symbol;Acc:1306778]
ENSRNOG00000001346	Cops6	protein_coding	COP9 signalosome subunit 6 [Source:RGD Symbol;Acc:1309919]
ENSRNOG00000013668	Capg	protein_coding	"capping actin protein, gelsolin like [Source:RGD Symbol;Acc:1311724]"
ENSRNOG00000021750	Id1	protein_coding	"inhibitor of DNA binding 1, HLH protein [Source:RGD Symbol;Acc:2858]"
ENSRNOG00000000636	Rtkn2	protein_coding	rhotekin 2 [Source:RGD Symbol;Acc:1304834]
ENSRNOG00000054314	Kcng1	protein_coding	potassium voltage-gated channel modifier subfamily G member 1 [Source:RGD Symbol;Acc:631416]
ENSRNOG00000007597	Rhpn1	protein_coding	"rhophilin, Rho GTPase binding protein 1 [Source:RGD Symbol;Acc:1305688]"
ENSRNOG00000011585	Fat3	protein_coding	FAT atypical cadherin 3 [Source:RGD Symbol;Acc:620657]
ENSRNOG00000014311	Slc7a8	protein_coding	solute carrier family 7 member 8 [Source:RGD Symbol;Acc:619904]
ENSRNOG00000045649	Arrdc3	protein_coding	arrestin domain containing 3 [Source:RGD Symbol;Acc:1359478]
ENSRNOG00000016361	Plcd4	protein_coding	"phospholipase C, delta 4 [Source:RGD Symbol;Acc:621025]"
ENSRNOG00000009660	Enpp6	protein_coding	ectonucleotide pyrophosphatase/phosphodiesterase 6 [Source:RGD Symbol;Acc:1311645]
ENSRNOG00000039744	RT1-CE4	protein_coding	"RT1 class I, locus CE4 [Source:RGD Symbol;Acc:1598234]"
ENSRNOG00000001006	Nptx2	protein_coding	neuronal pentraxin 2 [Source:RGD Symbol;Acc:1309447]
ENSRNOG00000004613	Gpm6b	protein_coding	glycoprotein m6b [Source:RGD Symbol;Acc:620580]
ENSRNOG00000029416	AC109942.1	protein_coding	NA
ENSRNOG00000006068	Tmem117	protein_coding	transmembrane protein 117 [Source:RGD Symbol;Acc:1562562]
ENSRNOG00000055089	Slc44a1	protein_coding	solute carrier family 44 member 1 [Source:RGD Symbol;Acc:621426]
ENSRNOG00000047867	Klhdc8b	protein_coding	kelch domain containing 8B [Source:RGD Symbol;Acc:1359445]
ENSRNOG00000027542	LOC100302465	protein_coding	hypothetical LOC100302465 [Source:RGD Symbol;Acc:2311471]
ENSRNOG00000012603	Sestd1	protein_coding	SEC14 and spectrin domain containing 1 [Source:RGD Symbol;Acc:1562244]
ENSRNOG00000000618	Mdga2	protein_coding	MAM domain containing glycosylphosphatidylinositol anchor 2 [Source:RGD Symbol;Acc:735131]
ENSRNOG00000043465	Arc	protein_coding	activity-regulated cytoskeleton-associated protein [Source:RGD Symbol;Acc:62037]
ENSRNOG00000008970	Pcdh17	protein_coding	protocadherin 17 [Source:RGD Symbol;Acc:1304753]
ENSRNOG00000000480	Phf1	protein_coding	PHD finger protein 1 [Source:RGD Symbol;Acc:1303205]
ENSRNOG00000029841	Cdh19	protein_coding	cadherin 19 [Source:RGD Symbol;Acc:1307169]
ENSRNOG00000042426	Cyp4v3	protein_coding	"cytochrome P450, family 4, subfamily v, polypeptide 3 [Source:RGD Symbol;Acc:708530]"
ENSRNOG00000024460	Tarsl2	protein_coding	threonyl-tRNA synthetase-like 2 [Source:RGD Symbol;Acc:1311308]
ENSRNOG00000008144	Irf1	protein_coding	interferon regulatory factor 1 [Source:RGD Symbol;Acc:2920]
ENSRNOG00000057852	Cacng6	protein_coding	calcium voltage-gated channel auxiliary subunit gamma 6 [Source:RGD Symbol;Acc:628806]
ENSRNOG00000056118	Cic	protein_coding	capicua transcriptional repressor [Source:RGD Symbol;Acc:1310706]
ENSRNOG00000019129	Fcgbp	protein_coding	Fc fragment of IgG binding protein [Source:RGD Symbol;Acc:2313189]
ENSRNOG00000021027	Dbp	protein_coding	D-box binding PAR bZIP transcription factor [Source:RGD Symbol;Acc:2491]
ENSRNOG00000013624	Uevld	protein_coding	UEV and lactate/malate dehyrogenase domains [Source:RGD Symbol;Acc:1587416]
ENSRNOG00000011352	Furin	protein_coding	furin (paired basic amino acid cleaving enzyme) [Source:RGD Symbol;Acc:3274]
ENSRNOG00000062127	AC134224.1	lincRNA	NA
ENSRNOG00000005509	Pak7	protein_coding	p21 (RAC1) activated kinase 7 [Source:RGD Symbol;Acc:1312009]
ENSRNOG00000057256	Slc19a3	protein_coding	solute carrier family 19 member 3 [Source:RGD Symbol;Acc:1311413]
ENSRNOG00000027271	RGD1359290	protein_coding	Ribosomal_L22 domain containing protein RGD1359290 [Source:RGD Symbol;Acc:1359290]
ENSRNOG00000027012	Usp54	protein_coding	ubiquitin specific peptidase 54 [Source:RGD Symbol;Acc:1303206]
ENSRNOG00000033261	Fam107a	protein_coding	"family with sequence similarity 107, member A [Source:RGD Symbol;Acc:1306327]"
ENSRNOG00000019697	Ankrd28	protein_coding	ankyrin repeat domain 28 [Source:RGD Symbol;Acc:1559931]
ENSRNOG00000000775	Mog	protein_coding	myelin oligodendrocyte glycoprotein [Source:RGD Symbol;Acc:3102]
ENSRNOG00000010149	Cmc1	protein_coding	C-x(9)-C motif containing 1 [Source:RGD Symbol;Acc:1305283]
ENSRNOG00000042322	Pcdhga4	protein_coding	"protocadherin gamma subfamily A, 4 [Source:RGD Symbol;Acc:620725]"
ENSRNOG00000010065	Dgkh	protein_coding	"diacylglycerol kinase, eta [Source:RGD Symbol;Acc:1561955]"
ENSRNOG00000011882	Gab2	protein_coding	GRB2-associated binding protein 2 [Source:RGD Symbol;Acc:621367]
ENSRNOG00000061299	LOC103694857	protein_coding	hemoglobin subunit beta-2 [Source:RGD Symbol;Acc:9218369]
ENSRNOG00000017220	Tcirg1	protein_coding	"T-cell immune regulator 1, ATPase H+ transporting V0 subunit A3 [Source:RGD Symbol;Acc:735136]"
ENSRNOG00000021151	Ppp1r14b	protein_coding	"protein phosphatase 1, regulatory (inhibitor) subunit 14B [Source:RGD Symbol;Acc:628702]"
ENSRNOG00000008475	Fut9	protein_coding	fucosyltransferase 9 [Source:RGD Symbol;Acc:619955]
ENSRNOG00000026676	LOC500567	protein_coding	similar to RIKEN cDNA 1700029M20 [Source:RGD Symbol;Acc:1566032]
ENSRNOG00000009905	RGD1559683	protein_coding	similar to RIKEN cDNA 1700001C02 [Source:RGD Symbol;Acc:1559683]
ENSRNOG00000005345	Vsnl1	protein_coding	visinin-like 1 [Source:RGD Symbol;Acc:3966]
ENSRNOG00000020161	Zbtb7a	protein_coding	zinc finger and BTB domain containing 7a [Source:RGD Symbol;Acc:620946]
ENSRNOG00000006118	Klf10	protein_coding	Kruppel-like factor 10 [Source:RGD Symbol;Acc:621652]
ENSRNOG00000046261	Acp5	protein_coding	"acid phosphatase 5, tartrate resistant [Source:RGD Symbol;Acc:2022]"
ENSRNOG00000019474	Rsph9	protein_coding	radial spoke head 9 homolog [Source:RGD Symbol;Acc:1310693]
ENSRNOG00000003512	Gabra1	protein_coding	gamma-aminobutyric acid type A receptor alpha1 subunit [Source:RGD Symbol;Acc:61855]
ENSRNOG00000003215	Zfp287	protein_coding	zinc finger protein 287 [Source:RGD Symbol;Acc:1308617]
ENSRNOG00000003338	Pmp22	protein_coding	peripheral myelin protein 22 [Source:RGD Symbol;Acc:3359]
ENSRNOG00000011060	Unc119	protein_coding	unc-119 lipid binding chaperone [Source:RGD Symbol;Acc:3942]
ENSRNOG00000007606	Rnf43	protein_coding	ring finger protein 43 [Source:RGD Symbol;Acc:1305204]
ENSRNOG00000020770	Arl4d	protein_coding	ADP-ribosylation factor like GTPase 4D [Source:RGD Symbol;Acc:1306875]
ENSRNOG00000021962	Fzd2	protein_coding	frizzled class receptor 2 [Source:RGD Symbol;Acc:71012]
ENSRNOG00000052354	Arhgef40	protein_coding	Rho guanine nucleotide exchange factor 40 [Source:RGD Symbol;Acc:1308093]
ENSRNOG00000016629	Tut7	protein_coding	terminal uridylyl transferase 7 [Source:RGD Symbol;Acc:1586015]
ENSRNOG00000025365	Ido2	protein_coding	"indoleamine 2,3-dioxygenase 2 [Source:RGD Symbol;Acc:1596771]"
ENSRNOG00000017953	Gfod2	protein_coding	glucose-fructose oxidoreductase domain containing 2 [Source:RGD Symbol;Acc:1311198]
ENSRNOG00000014723	Cbfa2t3	protein_coding	CBFA2/RUNX1 translocation partner 3 [Source:RGD Symbol;Acc:1310547]
ENSRNOG00000050210	RT1-CE10	protein_coding	"RT1 class I, locus CE10 [Source:RGD Symbol;Acc:1359292]"
ENSRNOG00000040052	RT1-M6-2	protein_coding	"RT1 class I, locus M6, gene 2 [Source:RGD Symbol;Acc:1595815]"
ENSRNOG00000046683	Lilrb3	protein_coding	leukocyte immunoglobulin like receptor B3 [Source:RGD Symbol;Acc:1566307]
ENSRNOG00000012278	Fgf10	protein_coding	fibroblast growth factor 10 [Source:RGD Symbol;Acc:2606]
ENSRNOG00000036869	Tmem88b	protein_coding	transmembrane protein 88B [Source:RGD Symbol;Acc:1588243]
ENSRNOG00000030213	Vps13c	protein_coding	vacuolar protein sorting 13 homolog C [Source:RGD Symbol;Acc:1560364]
ENSRNOG00000033215	RT1-Db1	protein_coding	"RT1 class II, locus Db1 [Source:RGD Symbol;Acc:1593282]"
ENSRNOG00000050231	Gng12	protein_coding	G protein subunit gamma 12 [Source:RGD Symbol;Acc:621516]
ENSRNOG00000016636	Lpin3	protein_coding	lipin 3 [Source:RGD Symbol;Acc:1588534]
ENSRNOG00000042344	Smim22	protein_coding	small integral membrane protein 22 [Source:RGD Symbol;Acc:1563547]
ENSRNOG00000053110	AABR07045047.1	protein_coding	NA
ENSRNOG00000013934	St5	protein_coding	suppression of tumorigenicity 5 [Source:RGD Symbol;Acc:1308995]
ENSRNOG00000016248	Sox18	protein_coding	SRY box 18 [Source:RGD Symbol;Acc:1311718]
ENSRNOG00000045568	Rbm14	protein_coding	RNA binding motif protein 14 [Source:RGD Symbol;Acc:620542]
ENSRNOG00000001493	Kptn	protein_coding	kaptin [Source:MGI Symbol;Acc:MGI:1890380]
ENSRNOG00000007520	Zcchc3	protein_coding	zinc finger CCHC-type containing 3 [Source:RGD Symbol;Acc:1585203]
ENSRNOG00000025484	Tmem177	protein_coding	transmembrane protein 177 [Source:RGD Symbol;Acc:1310320]
ENSRNOG00000038068	Pcdh9	protein_coding	protocadherin 9 [Source:NCBI gene;Acc:306091]
ENSRNOG00000016627	Eya4	protein_coding	EYA transcriptional coactivator and phosphatase 4 [Source:RGD Symbol;Acc:1307099]
ENSRNOG00000053592	AABR07050646.1	pseudogene	NA
ENSRNOG00000028586	Mcph1	protein_coding	microcephalin 1 [Source:RGD Symbol;Acc:1560642]
ENSRNOG00000034126	Pcdhga2	protein_coding	"protocadherin gamma subfamily A, 2 [Source:MGI Symbol;Acc:MGI:1935214]"
ENSRNOG00000043286	Cpne2	protein_coding	copine 2 [Source:RGD Symbol;Acc:1586036]
ENSRNOG00000034134	Cpm	protein_coding	carboxypeptidase M [Source:RGD Symbol;Acc:1310532]
ENSRNOG00000032395	Tfcp2	protein_coding	transcription factor CP2 [Source:RGD Symbol;Acc:1306738]
ENSRNOG00000060262	Prps1	protein_coding	phosphoribosyl pyrophosphate synthetase 1 [Source:RGD Symbol;Acc:61955]
ENSRNOG00000031662	Slc6a5	protein_coding	solute carrier family 6 member 5 [Source:RGD Symbol;Acc:621824]
ENSRNOG00000010616	Ndor1	protein_coding	NADPH dependent diflavin oxidoreductase 1 [Source:RGD Symbol;Acc:1308479]
ENSRNOG00000021472	Ermn	protein_coding	ermin [Source:RGD Symbol;Acc:1308367]
ENSRNOG00000017157	Trim69	protein_coding	tripartite motif-containing 69 [Source:RGD Symbol;Acc:1305074]
ENSRNOG00000009542	Kcnh5	protein_coding	potassium voltage-gated channel subfamily H member 5 [Source:RGD Symbol;Acc:621417]
ENSRNOG00000046358	RF00001	rRNA	NA
ENSRNOG00000033402	Gsta6	protein_coding	glutathione S-transferase alpha 6 [Source:RGD Symbol;Acc:1565402]
ENSRNOG00000017557	LOC100362216	protein_coding	hypothetical protein LOC100362216 [Source:RGD Symbol;Acc:2318569]
ENSRNOG00000004003	Dusp10	protein_coding	dual specificity phosphatase 10 [Source:RGD Symbol;Acc:1310844]
ENSRNOG00000003332	Nt5m	protein_coding	"5',3'-nucleotidase, mitochondrial [Source:RGD Symbol;Acc:1309622]"
ENSRNOG00000022615	Tp53i13	protein_coding	tumor protein p53 inducible protein 13 [Source:RGD Symbol;Acc:1559818]
ENSRNOG00000031163	Nfkbiz	protein_coding	NFKB inhibitor zeta [Source:RGD Symbol;Acc:1310834]
ENSRNOG00000013160	Sash1	protein_coding	SAM and SH3 domain containing 1 [Source:RGD Symbol;Acc:1566017]
ENSRNOG00000020606	B3gnt8	protein_coding	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 [Source:RGD Symbol;Acc:1305374]"
ENSRNOG00000020009	Npas4	protein_coding	neuronal PAS domain protein 4 [Source:RGD Symbol;Acc:628866]
ENSRNOG00000022386	Opalin	protein_coding	oligodendrocytic myelin paranodal and inner loop protein [Source:RGD Symbol;Acc:1307776]
ENSRNOG00000012060	Gucy1b1	protein_coding	guanylate cyclase 1 soluble subunit beta 1 [Source:RGD Symbol;Acc:2769]
ENSRNOG00000014654	LOC691807	protein_coding	hypothetical protein LOC691807 [Source:RGD Symbol;Acc:1594660]
ENSRNOG00000008332	Smo	protein_coding	"smoothened, frizzled class receptor [Source:RGD Symbol;Acc:3726]"
ENSRNOG00000018410	Nfu1	protein_coding	NFU1 iron-sulfur cluster scaffold [Source:RGD Symbol;Acc:1307823]
ENSRNOG00000057347	Cebpb	protein_coding	CCAAT/enhancer binding protein beta [Source:RGD Symbol;Acc:2327]
ENSRNOG00000002537	Wnk3	protein_coding	WNK lysine deficient protein kinase 3 [Source:RGD Symbol;Acc:1563131]
ENSRNOG00000013690	Clba1	protein_coding	clathrin binding box of aftiphilin containing 1 [Source:RGD Symbol;Acc:1307315]
ENSRNOG00000017766	Car12	protein_coding	carbonic anhydrase 12 [Source:RGD Symbol;Acc:1306612]
ENSRNOG00000005934	Mlip	protein_coding	muscular LMNA-interacting protein [Source:RGD Symbol;Acc:1590513]
ENSRNOG00000048897	Vmac	protein_coding	vimentin-type intermediate filament associated coiled-coil protein [Source:RGD Symbol;Acc:1303340]
ENSRNOG00000048329	AABR07066946.2	protein_coding	NA
ENSRNOG00000002137	Aasdh	protein_coding	aminoadipate-semialdehyde dehydrogenase [Source:RGD Symbol;Acc:1311135]
ENSRNOG00000003121	Rtn4rl1	protein_coding	reticulon 4 receptor-like 1 [Source:RGD Symbol;Acc:727812]
ENSRNOG00000007433	Cyb561	protein_coding	cytochrome b-561 [Source:RGD Symbol;Acc:1310987]
ENSRNOG00000025634	Zfhx2	protein_coding	zinc finger homeobox 2 [Source:RGD Symbol;Acc:735143]
ENSRNOG00000015242	Fbxl8	protein_coding	F-box and leucine-rich repeat protein 8 [Source:RGD Symbol;Acc:1566420]
ENSRNOG00000000493	Snrpc	protein_coding	small nuclear ribonucleoprotein polypeptide C [Source:RGD Symbol;Acc:1306065]
ENSRNOG00000000952	Gsx1	protein_coding	GS homeobox 1 [Source:RGD Symbol;Acc:1310020]
ENSRNOG00000038004	Zfp804a	protein_coding	zinc finger protein 804A [Source:RGD Symbol;Acc:1305239]
ENSRNOG00000024705	Rarres2	protein_coding	retinoic acid receptor responder 2 [Source:RGD Symbol;Acc:1309874]
ENSRNOG00000021812	Scx	protein_coding	scleraxis bHLH transcription factor [Source:RGD Symbol;Acc:1588254]
ENSRNOG00000010524	Cryab	protein_coding	"crystallin, alpha B [Source:RGD Symbol;Acc:2414]"
ENSRNOG00000051406	RF00100	misc_RNA	"predicted gene, 26407 [Source:MGI Symbol;Acc:MGI:5456184]"
ENSRNOG00000012294	Heph	protein_coding	hephaestin [Source:RGD Symbol;Acc:71060]
ENSRNOG00000037604	Ascc3	protein_coding	activating signal cointegrator 1 complex subunit 3 [Source:RGD Symbol;Acc:1307995]
ENSRNOG00000010260	Dixdc1	protein_coding	DIX domain containing 1 [Source:RGD Symbol;Acc:1309902]
ENSRNOG00000018109	Clic4	protein_coding	chloride intracellular channel 4 [Source:RGD Symbol;Acc:61857]
ENSRNOG00000029165	Stx1a	protein_coding	syntaxin 1A [Source:RGD Symbol;Acc:69430]
ENSRNOG00000040287	Cyp1b1	protein_coding	"cytochrome P450, family 1, subfamily b, polypeptide 1 [Source:RGD Symbol;Acc:2460]"
ENSRNOG00000004616	Npm1	protein_coding	nucleophosmin 1 [Source:RGD Symbol;Acc:3192]
ENSRNOG00000019254	Dyrk1b	protein_coding	dual specificity tyrosine phosphorylation regulated kinase 1B [Source:RGD Symbol;Acc:1307223]
ENSRNOG00000020425	Stim1	protein_coding	stromal interaction molecule 1 [Source:RGD Symbol;Acc:1306831]
ENSRNOG00000011313	Sorcs1	protein_coding	sortilin-related VPS10 domain containing receptor 1 [Source:RGD Symbol;Acc:1305910]
ENSRNOG00000018350	Shtn1	protein_coding	shootin 1 [Source:RGD Symbol;Acc:1311558]
ENSRNOG00000012302	Gucy1a1	protein_coding	guanylate cyclase 1 soluble subunit alpha 1 [Source:RGD Symbol;Acc:68436]
ENSRNOG00000048989	Larp7	protein_coding	"La ribonucleoprotein domain family, member 7 [Source:RGD Symbol;Acc:1592474]"
ENSRNOG00000010601	Srpk2	protein_coding	SRSF protein kinase 2 [Source:RGD Symbol;Acc:1305107]
ENSRNOG00000008465	Tmem176b	protein_coding	transmembrane protein 176B [Source:RGD Symbol;Acc:708403]
ENSRNOG00000008258	Fnbp1	protein_coding	formin binding protein 1 [Source:RGD Symbol;Acc:621350]
ENSRNOG00000014480	Sys1	protein_coding	Sys1 golgi trafficking protein [Source:RGD Symbol;Acc:1583224]
ENSRNOG00000053691	Lama5	protein_coding	laminin subunit alpha 5 [Source:RGD Symbol;Acc:621023]
ENSRNOG00000010777	Tox	protein_coding	thymocyte selection-associated high mobility group box [Source:RGD Symbol;Acc:1310455]
ENSRNOG00000034246	Rps27a	protein_coding	ribosomal protein S27a [Source:RGD Symbol;Acc:6489478]
ENSRNOG00000026646	Ndufs5	protein_coding	NADH:ubiquinone oxidoreductase subunit S5 [Source:RGD Symbol;Acc:1311081]
ENSRNOG00000024135	Zmat1	protein_coding	"zinc finger, matrin-type 1 [Source:RGD Symbol;Acc:1565344]"
ENSRNOG00000027761	Htatsf1	protein_coding	HIV-1 Tat specific factor 1 [Source:RGD Symbol;Acc:1563377]
ENSRNOG00000050220	Nrxn1	protein_coding	neurexin 1 [Source:RGD Symbol;Acc:628659]
ENSRNOG00000012062	Npc2	protein_coding	NPC intracellular cholesterol transporter 2 [Source:RGD Symbol;Acc:628756]
ENSRNOG00000042496	Cyp4f5	protein_coding	"cytochrome P450, family 4, subfamily f, polypeptide 5 [Source:RGD Symbol;Acc:708364]"
ENSRNOG00000006841	Ano4	protein_coding	anoctamin 4 [Source:RGD Symbol;Acc:1310252]
ENSRNOG00000007078	Ccn4	protein_coding	cellular communication network factor 4 [Source:RGD Symbol;Acc:69431]
ENSRNOG00000010549	Tspo	protein_coding	translocator protein [Source:RGD Symbol;Acc:2228]
ENSRNOG00000005291	Slc38a1	protein_coding	"solute carrier family 38, member 1 [Source:RGD Symbol;Acc:69645]"
ENSRNOG00000018982	Entpd3	protein_coding	ectonucleoside triphosphate diphosphohydrolase 3 [Source:RGD Symbol;Acc:631326]
ENSRNOG00000050258	Ccnd3	protein_coding	cyclin D3 [Source:RGD Symbol;Acc:2293]
ENSRNOG00000016446	Gpr45	protein_coding	G protein-coupled receptor 45 [Source:RGD Symbol;Acc:1306253]
ENSRNOG00000003018	Olfml2b	protein_coding	olfactomedin-like 2B [Source:RGD Symbol;Acc:1309257]
ENSRNOG00000003680	Gabrb2	protein_coding	gamma-aminobutyric acid type A receptor beta 2 subunit [Source:RGD Symbol;Acc:2650]
ENSRNOG00000037712	Mfsd6l	protein_coding	major facilitator superfamily domain containing 6-like [Source:RGD Symbol;Acc:1307767]
ENSRNOG00000015419	Spem1	protein_coding	spermatid maturation 1 [Source:RGD Symbol;Acc:1593311]
ENSRNOG00000006450	Erbb2	protein_coding	erb-b2 receptor tyrosine kinase 2 [Source:RGD Symbol;Acc:2561]
ENSRNOG00000009042	Sec24c	protein_coding	"SEC24 homolog C, COPII coat complex component [Source:RGD Symbol;Acc:1597739]"
